unidade;setor;ano;mes;exames_img;exames_lab;saidas;exame_img_por_paciente;exame_lab_por_paciente
CHPB;AMBULATORIO DE SAUDE MENTAL;2019;5;0;0;1;0,0;0,0
CHPB;AMBULATORIO DE SAUDE MENTAL;2020;2;0;0;1;0,0;0,0
CHPB;AMBULATORIO DE SAUDE MENTAL;2021;9;0;0;1;0,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;1;3;0;30;0,1;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;2;13;0;30;0,43333333333333335;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;3;9;0;24;0,375;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;4;11;0;20;0,55;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;5;21;0;32;0,65625;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;6;17;0;23;0,7391304347826086;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;7;12;0;23;0,5217391304347826;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;8;20;0;27;0,7407407407407407;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;9;19;0;28;0,6785714285714286;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;10;26;0;34;0,7647058823529411;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;11;8;0;25;0,32;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2019;12;2;0;30;0,06666666666666667;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;1;3;0;36;0,08333333333333333;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;2;8;0;30;0,26666666666666666;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;3;3;0;35;0,08571428571428572;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;4;5;0;22;0,22727272727272727;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;5;10;0;17;0,5882352941176471;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;6;13;0;17;0,7647058823529411;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;7;8;0;24;0,3333333333333333;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;8;13;0;25;0,52;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;9;29;0;22;1,3181818181818181;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;10;19;0;23;0,8260869565217391;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;11;19;0;19;1,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2020;12;30;0;31;0,967741935483871;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;1;6;0;30;0,2;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;2;33;0;28;1,1785714285714286;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2021;3;3;0;9;0,3333333333333333;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;8;8;0;24;0,3333333333333333;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;9;11;0;22;0,5;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;10;21;0;24;0,875;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;11;27;0;31;0,8709677419354839;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2022;12;12;0;24;0,5;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;1;7;0;27;0,25925925925925924;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;2;15;0;22;0,6818181818181818;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;3;16;0;31;0,5161290322580645;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;4;12;0;26;0,46153846153846156;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;5;31;0;43;0,7209302325581395;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;6;51;0;29;1,7586206896551724;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;7;33;0;37;0,8918918918918919;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;8;25;0;25;1,0;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;9;19;0;22;0,8636363636363636;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;10;18;0;36;0,5;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;11;9;0;25;0,36;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2023;12;5;0;28;0,17857142857142858;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;1;10;0;24;0,4166666666666667;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;2;28;0;34;0,8235294117647058;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;3;32;0;18;1,7777777777777777;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;4;40;0;29;1,3793103448275863;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;5;31;0;26;1,1923076923076923;0,0
CHPB;CAC - CENTRO DE ACOLHIMENTO DE CRISE;2024;6;16;0;21;0,7619047619047619;0,0
CHPB;CAC/CHPB/CHB;2024;9;0;12;1;0,0;12,0
CHPB;CAC/CHPB/CHB;2024;11;0;24;1;0,0;24,0
CHPB;CAC/CHPB/CHB;2025;1;1;2;1;1,0;2,0
CHPB;CAC/CHPB/CHB;2025;10;1;47;1;1,0;47,0
CHPB;CAC/CHPB/CHB;2026;2;0;22;2;0,0;11,0
CHPB;CAC/CHPB/CHB;2026;6;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2021;11;0;0;6;0,0;0,0
CHPB;LAR INCLUSIVO;2021;12;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;1;0;0;3;0,0;0,0
CHPB;LAR INCLUSIVO;2022;4;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;6;2;0;6;0,3333333333333333;0,0
CHPB;LAR INCLUSIVO;2022;7;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;8;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2022;11;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2023;2;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO;2023;4;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;8;3;31;1;3,0;31,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2024;12;2;1;4;0,5;0,25
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;1;0;12;1;0,0;12,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;5;2;0;1;2,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;6;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025;9;13;106;1;13,0;106,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026;2;4;33;1;4,0;33,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026;5;1;34;6;0,16666666666666666;5,666666666666667
CHPB;LAR INCLUSIVO B;2021;3;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO B;2021;4;0;0;2;0,0;0,0
CHPB;LAR INCLUSIVO B;2021;7;1;0;1;1,0;0,0
CHPB;LAR INCLUSIVO B;2021;11;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO B;2022;10;1;0;1;1,0;0,0
CHPB;LAR INCLUSIVO B;2023;2;0;0;3;0,0;0,0
CHPB;LAR INCLUSIVO B;2023;3;1;0;2;0,5;0,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;9;0;0;1;0,0;0,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;10;2;26;1;2,0;26,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;11;1;134;1;1,0;134,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024;12;2;59;1;2,0;59,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;1;0;0;4;0,0;0,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;3;2;7;1;2,0;7,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025;4;0;0;1;0,0;0,0
